WKT;codpostal;codtienda1;codtienda;tienda;retail;direccion1;direccion2;distrito;provincia;departamen;pais;cartodb_id;latitud;longitud;link_googl;telefono_p;otros_tele;horario_do;horario_lu;horario_ma;horario_mi;horario_ju;horario_vi;horario_sa
POINT (-76.8713166 -12.2753863);15823;53;L053;LURIN;LA CURACAO;ANTIGUA PANAMERICANA SUR KM.36;PARCELA B-62 FUNDO SAN VICENTE NUEVO;LURIN;LIMA;LIMA;PE;131;-12.2753863;-76.8713166;http://goo.gl/VwzP16;(01) 7195635;;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30
POINT (-76.973653 -6.030903);22001;55;L055;MOYOBAMBA;LA CURACAO;JR. PEDRO CANGA;;MOYOBAMBA;MOYOBAMBA;SAN MARTIN;PE;132;-6.030903;-76.973653;http://goo.gl/UO4LrM;;;;;;;;;
POINT (-74.9400058 -14.8288674);11401;56;L056;NAZCA;LA CURACAO;CALLE LIMA 308;COSTADO DE UGEL;NAZCA;NAZCA;ICA;PE;133;-14.8288674;-74.9400058;http://goo.gl/aTJQk8;(056) 523353;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00
POINT (-79.5693557 -7.4002104);13811;57;L057;PACASMAYO;LA CURACAO;CALLE ADOLFO KING 24;;PACASMAYO;PACASMAYO;LA LIBERTAD;PE;134;-7.4002104;-79.5693557;http://goo.gl/mwIInb;(044) 521503;;09:30-20:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-81.1120583 -5.0856935);20701;58;L058;PAITA;LA CURACAO;JR. JUNIN 319;;PAITA;PAITA;PIURA;PE;135;-5.0856935;-81.1120583;http://goo.gl/86WIl0;(073) 211959;(073) 212656;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30
POINT (-76.2562185 -10.6838348);19001;59;L059;PASCO;LA CURACAO;JR. LEONCIO PRADO 120 -126;FRENTE A LA PLAZA CARRION EN CHAUPIMARCA;CHAUPIMARCA;PASCO;PASCO;PE;136;-10.6838348;-76.2562185;http://goo.gl/im9GnG;(063) 422938;(063) 422938;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30
POINT (-76.2040047 -13.7119871);11601;60;L060;PISCO;LA CURACAO;PASAJE JAZMIN 150;PLAZUELA BELEN;PISCO;PISCO;ICA;PE;137;-13.7119871;-76.2040047;http://goo.gl/YQOMRN;(056) 531064;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00
POINT (-80.6291603 -5.1956494);20008;31;L031;PIURA 1 GRAU;LA CURACAO;AV. GRAU 402;DENTRO DEL MALL AVENTURA PLAZA, INTERIOR 7;PIURA;PIURA;PIURA;PE;138;-5.1956494;-80.6291603;http://goo.gl/FjIyjg;(073) 302644;;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00
POINT (-80.6216126 -5.1824499);20008;61;L061;PIURA 2;LA CURACAO;AV. CARCERES ESQUINA CON UNIVERSITARIA;PRIMER NIVEL LC 07 CC OPEN PLAZA;CASTILLA;PIURA;PIURA;PE;139;-5.1824499;-80.6216126;http://goo.gl/RxYcIK;(073) 607615;(073) 607616;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00
POINT (-74.5826166 -8.3928622);25001;62;L062;PUCALLPA;LA CURACAO;JR. RAYMONDI NO. 533;;CALLERIA;CORONEL PORTILLO;UCAYALI;PE;140;-8.3928622;-74.5826166;https://goo.gl/maps/DhBK4f8UkoF2;(061) 575967;;09:00-20:00;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30
