WKT;codpostal;codtienda1;codtienda;tienda;retail;direccion1;direccion2;distrito;provincia;departamen;pais;cartodb_id;latitud;longitud;link_googl;telefono_p;otros_tele;horario_do;horario_lu;horario_ma;horario_mi;horario_ju;horario_vi;horario_sa
POINT (-76.932571 -12.038806);15012;;;EXPRESS ATE;MOTOCORP EXPRESS;AV NICOLAS DE AYLLON 4723, ATE, PISTA NUEVA;ALT. PARADERO PISTA NUEVA;ATE;LIMA;LIMA;PE;179;-12.038806;-76.932571;;(01) 5838588;;;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00
POINT (-79.0363754 -8.1254924);13008;;;TRUJILLO;MOTOCORP;AV AMERICA SUR CON AV SANTA MARTA;ESQUINA CON AV. SANTA MARTHA;TRUJILLO;TRUJILLO;LA LIBERTAD;PE;180;-8.1254924;-79.0363754;;(044) 383586;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-70.1379265 -15.4870063);21101;;;JULIACA;MOTOCORP;NORMAL CON SERAFIN FIRPO;ESQ. CON AV. FERROCARRIL 490;JULIACA;JULIACA;PUNO;PE;181;-15.4870063;-70.1379265;;(051) 329243;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-78.5055647 -7.1604033);6002;;;CAJAMARCA;MOTOCORP;AV. VIA DE EVITAMIENTO SUR 289;CERCA AL JR. CUMBE MAYO;CAJAMARCA;CAJAMARCA;CAJAMARCA;PE;182;-7.1604033;-78.5055647;;(076) 342460;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-74.5291765 -8.385169);25001;;;PUCALLPA;MOTOCORP;JR. CORONEL PORTILLO 428, UCAYALI;CERCA A LA AV. TARAPACA (LOCAL DE YUCRA);CALLERIA;CORONEL PORTILLO;UCAYALI;PE;183;-8.385169;-74.5291765;;(061) 505711;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-77.0097723 -11.9959898);15434;;;EXPRESS SJL 1;MOTOCORP EXPRESS;PROCERES DE LA INDEPENDENCIA, PARADERO LOS POSTES;ALTURA DEL PARADERO LOS POSTES DE LA ESTACION DEL TREN;SAN JUAN DE LURIGANCHO;LIMA;LIMA;PE;184;-11.9959898;-77.0097723;;(01) 3380885;;;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00
POINT (-69.1870986 -12.5885143);17001;;;PUERTO MALDONADO;MOTOCORP;AV 15 DE AGOSTO CON 2 DE MAYO, PUERTO MALDONADO;ESQUINA DE 2 DE MAYO CON 15 DE AGOSTO;PUERTO MALDONADO;PUERTO MALDONADO;MADRE DE DIOS;PE;185;-12.5885143;-69.1870986;;(082) 502083;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-81.0985104 -5.0891223);20701;;;PAITA;MOTOCORP;VICTOR HAYA DE LA TORRE CON EL OBRERO;CERCA A LA AV. EL OBRERO;PAITA;PAITA;PIURA;PE;186;-5.0891223;-81.0985104;;(073) 211248;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-75.2165448 -12.0645285);12004;;;HUANCAYO;MOTOCORP;13 DE NOVIEMBRE 828;CERCA A LA AV. LIBERTAD;EL TAMBO;HUANCAYO;JUNIN;PE;187;-12.0645285;-75.2165448;;(064) 419178;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-77.5331906 -9.5168243);2002;;;HUARAZ;MOTOCORP;CONFRATERNIDAD CON PABLO PATRON;CRUCE AV. CONFRATERNIDAD CON PABLO PATRON 395;INDEPENDENCIA;HUARAZ;ANCASH;PE;188;-9.5168243;-77.5331906;;(043) 429636;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-77.0022144 -11.9686873);15423;;;EXPRESS SJL 2;MOTOCORP EXPRESS;AV SAN MARTIN CON RIO CHILLON;CRUCE AV. CANTO GRANDE CON AV.SAN MARTIN;SAN JUAN DE LURIGANCHO;LIMA;LIMA;PE;189;-11.9686873;-77.0022144;;(01) 2974623;;;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00
