Geometry,Oficina,Distrito,SubZona,Ubigeo,Clientes
"MULTIPOLYGON(-76.799565 -12.10138704, -76.80040704 -12.10209696,-76.80056616 -12.10216896,-76.80092004 -12.10215699,-76.80138408 -12.10228497,-76.80179016 -12.10232097,-76.80228984 -12.102444,-76.79911608 -12.10772403,-76.79199888 -12.11200218,-76.80237876 -12.1168323,-76.80604104 -12.11551596,-76.808637 -12.11657499,-76.80863088 -12.116115,-76.80858984 -12.115863,-76.80849984 -12.11563197,-76.80949992 -12.11508603,-76.81016916 -12.116232,-76.81182012 -12.11536098,-76.81138488 -12.11456799,-76.81235616 -12.11400801,-76.81209012 -12.11351796,-76.81187988 -12.11156001,-76.81549212 -12.10379796,-76.80394872 -12.09402396,-76.799565 -12.10138704)",HIGUERETA,CIENEGUILLA,009104,150109,3
"MULTIPOLYGON(-77.00091192 -12.183687,-77.00026788 -12.18337497,-76.99950288 -12.18269304,-76.99885884 -12.18129003,-76.99625496 -12.17826198,-76.99215888 -12.17326302,-76.991598 -12.17238498,-76.99127184 -12.17281302,-76.99108716 -12.17271096,-76.99053708 -12.17310804,-76.98940884 -12.17293596,-76.98888108 -12.17310597,-76.98825504 -12.17349801,-76.98798504 -12.17366199,-76.98765096 -12.17405403,-76.98762288 -12.17403297,-76.984191 -12.172482,-76.98527496 -12.17439999,-76.98809088 -12.18232998,-76.98818196 -12.18279501,-76.99097412 -12.18221298,-76.992498 -12.18099096,-76.99298796 -12.18168504,-76.99470984 -12.18352203,-76.99529988 -12.18444102,-76.99594212 -12.18500802,-76.99678884 -12.18422403,-76.99788216 -12.18526299,-76.99797288 -12.18526803,-76.99860396 -12.18586599,-76.99894992 -12.18522897,-76.99916592 -12.18492,-76.99945608 -12.18468501,-77.00000796 -12.18452301,-77.00143104 -12.18441699,-77.00192388 -12.184389,-77.00268312 -12.18458799,-77.00281704 -12.18405204,-77.00091192 -12.183687)",HIGUERETA,CHORRILLOS,008110,150108,57
