location;new_cases_per_million;new_deaths_per_million;reproduction_rate;new_tests_per_thousand;positive_rate
Suriname;37.502;0;1.07;;
Suriname;10.228;1.705;1.05;;
Suriname;15.342;0;1.06;;
Suriname;11.932;0;1.06;;
Suriname;40.911;0;1.09;;
Suriname;32.388;1.705;1.09;;
Suriname;15.342;0;1.08;;
Suriname;20.456;0;1.09;;
Suriname;35.797;3.409;1.1;;
Suriname;11.932;1.705;1.11;;
Suriname;42.616;0;1.12;;
Suriname;27.274;1.705;1.12;;
Suriname;27.274;1.705;1.12;;
Suriname;17.046;0;1.12;;
Suriname;18.751;0;1.13;;
Suriname;8.523;0;1.15;;
Suriname;0;1.705;1.19;;
Suriname;64.776;1.705;1.25;;
Suriname;27.274;0;1.27;;
Suriname;27.274;0;1.28;;
Suriname;132.962;1.705;1.31;;
Suriname;39.207;0;1.26;;
Suriname;18.751;3.409;1.21;;
Suriname;23.865;0;1.18;;
Suriname;34.093;0;1.17;;
Suriname;20.456;0;1.15;;
Suriname;23.865;0;1.15;;
Suriname;6.819;1.705;1.16;;
Suriname;49.435;0;1.18;;
Suriname;34.093;0;1.19;;
Suriname;34.093;1.705;1.21;;
Suriname;52.844;3.409;1.22;;
Suriname;49.435;0;1.23;;
Suriname;54.548;1.705;1.23;;
Suriname;25.57;0;1.23;;
Suriname;0;0;1.25;;
Suriname;66.481;0;1.28;;
Suriname;35.797;0;1.3;;
Suriname;61.367;0;1.33;;
Suriname;114.211;0;1.35;;
Suriname;66.481;1.705;1.35;;
Suriname;98.869;1.705;1.34;;
Suriname;47.73;1.705;1.33;;
Suriname;85.232;0;1.32;;
Suriname;88.641;0;1.32;;
Suriname;76.709;0;1.31;;
Suriname;98.869;3.409;1.3;;
Suriname;121.029;0;1.3;;
Suriname;129.553;0;1.28;;
Suriname;98.869;0;1.26;;
Suriname;75.004;1.705;1.24;;
Suriname;46.025;0;1.23;;
Suriname;165.35;3.409;1.23;;
Suriname;0;0;1.21;;
Suriname;73.3;0;1.23;;
Suriname;187.51;0;1.24;;
Suriname;151.713;1.705;1.23;;
Suriname;75.004;0;1.22;;
Suriname;150.008;0;1.21;;
Suriname;117.62;0;1.21;;
Suriname;78.413;3.409;1.2;;
Suriname;182.397;0;1.2;;
Suriname;175.578;0;1.19;;
Suriname;144.894;0;1.17;;
Suriname;167.055;1.705;1.16;;
Suriname;119.325;15.342;1.14;;
Suriname;160.236;0;1.13;;
Suriname;184.101;1.705;1.11;;
Suriname;131.257;1.705;1.09;;
Suriname;209.671;1.705;1.08;;
Suriname;93.755;8.523;1.05;;
Suriname;103.983;1.705;1.04;;
Suriname;236.945;10.228;1.03;;
Suriname;134.667;0;1;;
Suriname;121.029;1.705;0.98;;
Suriname;160.236;1.705;0.96;;
Suriname;185.806;1.705;0.94;;
Suriname;64.776;1.705;0.91;;
Suriname;42.616;3.409;0.89;;
Suriname;112.506;1.705;0.88;;
Suriname;44.321;1.705;0.87;;
Suriname;117.62;6.819;0.88;;
Suriname;93.755;0;0.88;;
Suriname;180.692;1.705;0.88;;
Suriname;93.755;0;0.86;;
Suriname;42.616;6.819;0.85;;
Suriname;93.755;1.705;0.84;;
Suriname;102.278;0;0.83;;
Suriname;112.506;1.705;0.83;;
Suriname;63.072;3.409;0.81;;
Suriname;115.916;1.705;0.8;;
Suriname;44.321;15.342;0.78;;
Suriname;23.865;10.228;0.77;;
Suriname;100.574;0;0.77;;
Suriname;47.73;1.705;0.76;;
Suriname;51.139;1.705;0.76;;
Suriname;88.641;0;0.75;;
Suriname;85.232;0;0.74;;
Suriname;5.114;0;0.72;;
Suriname;49.435;3.409;0.71;;
Suriname;23.865;0;0.71;;
Suriname;34.093;0;0.71;;
Suriname;44.321;0;0.71;;
Suriname;34.093;1.705;0.7;;
Suriname;30.684;1.705;0.71;;
Suriname;23.865;0;0.71;;
Suriname;28.979;0;0.72;;
Suriname;32.388;5.114;0.72;;
Suriname;34.093;1.705;0.73;;
Suriname;17.046;1.705;0.74;;
Suriname;47.73;0;0.75;;
Suriname;23.865;0;0.75;;
Suriname;6.819;0;0.75;;
Suriname;1.705;0;0.76;;
Suriname;46.025;3.409;0.79;;
Suriname;23.865;0;0.8;;
Suriname;23.865;1.705;0.81;;
Suriname;13.637;0;0.82;;
Suriname;42.616;1.705;0.84;;
Suriname;28.979;0;0.85;;
Suriname;22.16;0;0.85;;
Suriname;18.751;0;0.85;;
Suriname;23.865;0;0.85;;
Suriname;42.616;0;0.86;;
Suriname;23.865;0;0.85;;
Suriname;28.979;1.705;0.84;;
Suriname;27.274;0;0.83;;
Suriname;11.932;0;0.82;;
Suriname;23.865;0;0.81;;
Suriname;18.751;1.705;0.8;;
Suriname;18.751;1.705;0.79;;
Suriname;32.388;0;0.78;;
Suriname;17.046;0;0.77;;
Suriname;11.932;0;0.75;;
Suriname;5.114;0;0.74;;
Suriname;18.751;0;0.73;;
Suriname;10.228;0;0.72;;
Suriname;6.819;0;0.72;;
Suriname;1.705;0;0.72;;
Suriname;18.751;0;0.74;;
Suriname;6.819;0;0.74;;
Suriname;17.046;1.705;0.75;;
Suriname;11.932;1.705;0.75;;
Suriname;8.523;0;0.75;;
Suriname;8.523;0;0.75;;
Suriname;6.819;0;0.75;;
Suriname;3.409;0;0.75;;
Suriname;11.932;0;0.76;;
Suriname;3.409;0;0.77;;
Suriname;10.228;0;0.79;;
Suriname;3.409;1.705;0.79;;
Suriname;8.523;0;0.81;;
Suriname;3.409;0;0.83;;
Suriname;11.932;1.705;0.85;;
Suriname;8.523;0;0.86;;
Suriname;3.409;0;0.87;;
Suriname;6.819;0;0.89;;
Suriname;15.342;0;0.91;;
Suriname;11.932;1.705;0.9;;
Suriname;11.932;0;0.89;;
Suriname;10.228;0;0.87;;
Suriname;0;0;0.85;;
Suriname;1.705;1.705;0.84;;
Suriname;5.114;1.705;0.85;;
Suriname;6.819;0;0.85;;
Suriname;3.409;0;0.86;;
Suriname;8.523;0;0.87;;
Suriname;10.228;0;0.87;;
Suriname;1.705;0;0.86;;
Suriname;1.705;0;0.87;;
Suriname;5.114;1.705;0.88;;
Suriname;8.523;0;0.89;;
Suriname;3.409;0;0.9;;
Suriname;6.819;0;0.9;;
Suriname;1.705;0;0.91;;
Suriname;0;0;0.92;;
Suriname;0;0;0.95;;
Suriname;11.932;0;0.99;;
Suriname;1.705;0;1;;
Suriname;3.409;0;1.02;;
Suriname;0;0;1.04;;
Suriname;3.409;0;1.08;;
Suriname;0;0;1.13;;
Suriname;1.705;0;1.2;;
Suriname;1.705;0;1.28;;
Suriname;11.932;0;1.37;;
Suriname;6.819;0;1.41;;
Suriname;3.409;0;1.44;;
Suriname;1.705;0;1.49;;
Suriname;22.16;0;1.56;;
Suriname;10.228;0;1.63;;
Suriname;37.502;0;1.7;;
Suriname;34.093;0;1.77;;
Suriname;46.025;0;1.82;;
Suriname;52.844;0;1.85;;
Suriname;88.641;1.705;1.86;;
Suriname;69.89;0;1.84;;
Suriname;52.844;0;1.81;;
Suriname;146.599;0;1.8;;
Suriname;110.802;0;1.75;;
Suriname;129.553;0;1.69;;
Suriname;119.325;1.705;1.63;;
Suriname;98.869;0;1.57;;
Suriname;68.186;0;1.52;;
Suriname;59.662;1.705;1.48;;
Suriname;144.894;0;1.46;;
Suriname;141.485;1.705;1.43;;
Suriname;49.435;1.705;1.4;;
Suriname;114.211;1.705;1.38;;
Suriname;112.506;0;1.37;;
Suriname;85.232;0;1.35;;
Suriname;170.464;1.705;1.35;;
Suriname;158.532;1.705;1.33;;
Suriname;136.371;1.705;1.31;;
Suriname;143.19;6.819;1.3;;
Suriname;177.283;1.705;1.28;;
Suriname;160.236;1.705;1.26;;
Suriname;102.278;1.705;1.24;;
Suriname;95.46;8.523;1.23;;
Suriname;194.329;0;1.23;;
Suriname;117.62;1.705;1.22;;
Suriname;90.346;0;1.21;;
Suriname;185.806;0;1.22;;
Suriname;102.278;3.409;;;
Suriname;98.869;0;;;
Suriname;165.35;6.819;;;
Suriname;144.894;1.705;;;
Suriname;126.143;0;;;
Suriname;165.35;0;;;
Suriname;110.802;3.409;;;
Suriname;93.755;0;;;
Suriname;97.165;1.705;;;
Uruguay;1.152;;;;
Uruguay;0.576;;;;
Uruguay;0.576;;;;
Uruguay;6.045;;;;
Uruguay;6.045;;;;
Uruguay;8.348;;;;
Uruguay;4.318;;;;
Uruguay;4.606;;;;
Uruguay;7.197;;1.01;;
Uruguay;6.621;;1.01;;
Uruguay;1.152;;1.01;;
Uruguay;7.773;;1.01;;
Uruguay;8.061;;1;;
Uruguay;6.045;;1;;
Uruguay;10.364;;1;;
Uruguay;8.348;0.288;0.99;;
Uruguay;1.727;0;0.99;0.058;
Uruguay;3.167;0;0.98;0.086;
Uruguay;5.182;0;0.98;0.113;
Uruguay;3.455;0.288;0.98;0.083;
Uruguay;5.47;0.576;0.98;0.102;
Uruguay;4.894;0;0.98;0.093;
Uruguay;4.03;0.288;0.97;0.08;0.045
Uruguay;1.727;0.288;0.97;0.042;0.047
Uruguay;2.591;0;0.97;0.051;0.048
Uruguay;2.591;0.288;0.97;0.098;0.045
Uruguay;9.212;0;0.97;0.129;0.051
Uruguay;4.894;0;0.97;0.196;0.043
Uruguay;0;0;0.97;0.184;0.04
Uruguay;2.015;0;0.97;0.178;0.033
Uruguay;0;0;0.96;0.19;0.021
Uruguay;0.864;0.288;0.96;0.133;0.018
Uruguay;2.591;0;0.96;0.199;0.016
Uruguay;0.288;0.288;0.96;0.149;0.009
Uruguay;2.591;0;0.96;0.228;0.007
Uruguay;1.727;0;0.96;0.147;0.003
Uruguay;2.591;0;0.96;0.21;0.004
Uruguay;3.167;0.288;0.96;0.1;0.012
Uruguay;2.015;0;0.96;;0.013
Uruguay;2.303;0.576;0.96;;0.015
Uruguay;1.727;0;0.97;0.152;0.016
Uruguay;2.303;0;0.97;0.175;0.017
Uruguay;1.727;0;0.97;0.176;0.016
Uruguay;9.5;0.576;0.97;0.199;0.024
Uruguay;2.879;0.288;0.97;0.191;0.021
Uruguay;4.03;0;0.96;0.163;0.021
Uruguay;1.439;0;0.96;0.127;0.02
Uruguay;1.439;0;0.96;0.183;0.019
Uruguay;3.742;0.576;0.95;0.252;0.019
Uruguay;1.439;0;0.95;0.21;0.018
Uruguay;1.152;0;0.95;0.232;0.012
Uruguay;0.864;0;0.95;0.176;0.01
Uruguay;0.576;0;0.95;0.223;0.008
Uruguay;3.742;0;0.95;0.249;0.008
Uruguay;0.864;0;0.95;0.29;0.008
Uruguay;3.167;0;0.95;0.243;0.007
Uruguay;2.879;0.288;0.95;0.3;0.008
Uruguay;2.303;0;0.95;0.328;0.008
Uruguay;1.439;0.288;0.95;0.179;0.008
Uruguay;1.152;0;0.94;0.356;0.008
Uruguay;1.727;0;0.94;;0.007
Uruguay;0.576;0;0.94;;0.008
Uruguay;1.439;0;0.95;0.204;0.007
Uruguay;2.303;0;0.95;0.288;0.007
Uruguay;0.288;0;0.95;0.292;0.006
Uruguay;0.288;0.288;0.95;0.233;0.005
Uruguay;0.864;0;0.95;0.237;0.005
Uruguay;0.288;0;0.96;0.151;0.004
Uruguay;2.303;0;0.96;0.118;0.005
Uruguay;0.864;0;0.97;;0.005
Uruguay;1.152;0;0.97;;0.005
Uruguay;3.167;0.576;0.98;0.472;0.006
Uruguay;1.439;0;0.98;;0.008
Uruguay;5.182;0;0.98;;0.012
Uruguay;0.576;0;0.97;0.158;0.012
Uruguay;4.03;0;0.97;0.223;0.012
Uruguay;2.303;0;0.97;0.219;0.012
Uruguay;1.439;0;0.96;0.357;0.011
Uruguay;1.439;0;0.96;0.332;0.01
Uruguay;0.576;0;0.95;0.246;0.009
Uruguay;0.576;0.288;0.95;;0.006
Uruguay;0.288;0;0.95;;0.006
Uruguay;0.576;0;0.95;0.206;0.004
Uruguay;1.152;0;0.95;0.159;0.004
Uruguay;0.576;0;0.95;0.212;0.004
Uruguay;3.167;0;0.95;0.265;0.005
Uruguay;0;0;0.95;0.172;0.005
Uruguay;0;0;0.95;0.116;0.005
Uruguay;0.288;0;0.95;0.134;0.005
Uruguay;0.288;0;0.95;0.218;0.004
Uruguay;0;0;0.95;0.236;0.003
Uruguay;0;0;0.96;0.242;0.003
Uruguay;0;0;0.97;0.22;0
Uruguay;0.288;0;0.97;0.226;0.001
Uruguay;0;0;0.98;0.116;0.001
Uruguay;0.288;0.288;1;0.132;0.001
Uruguay;0;0;1.01;0.219;0
Uruguay;0.288;0;1.02;0.406;0.001
Uruguay;0.864;0;1.04;0.097;0.001
Uruguay;1.727;0.288;1.05;0.185;0.002
Uruguay;4.894;0;1.05;0.119;0.006
Uruguay;1.727;0;1.06;0.115;0.008
Uruguay;0.864;0;1.07;0.333;0.007
Uruguay;4.894;0.288;1.07;0.424;0.009
Uruguay;1.439;0;1.07;0.371;0.01
Uruguay;3.455;0;1.07;0.333;0.01
Uruguay;1.439;0;1.07;0.408;0.009
Uruguay;1.439;0.288;1.07;0.116;0.007
Uruguay;0.864;0;1.07;0.299;0.006
Uruguay;1.152;0;1.07;0.194;0.007
Uruguay;2.015;0.288;1.07;;0.006
Uruguay;1.152;0;1.07;;0.006
Uruguay;1.439;0;1.07;;0.005
Uruguay;0.864;0;1.08;;0.005
Uruguay;0.288;0;1.08;;0.004
Uruguay;1.152;0.288;1.09;;0.004
Uruguay;1.439;0;1.09;0.304;0.004
Uruguay;2.591;0;1.1;0.276;0.004
Uruguay;0.864;0;1.1;0.422;0.004
Uruguay;2.303;0;1.11;0.352;0.004
Uruguay;0.288;0.288;1.11;0.247;0.004
Uruguay;0.288;0.288;1.12;0.135;0.004
Uruguay;0.576;0;1.13;0.396;0.004
Uruguay;2.303;0;1.14;0.427;0.004
Uruguay;3.455;0;1.15;;0.005
Uruguay;4.894;0.288;1.15;;0.007
Uruguay;3.167;0;1.15;;0.007
Uruguay;2.015;0.288;1.15;;0.007
Uruguay;2.879;0;1.16;;0.007
Uruguay;2.879;0;1.16;0.585;0.007
Uruguay;9.212;0;1.16;0.405;0.009
Uruguay;6.045;0.288;1.15;0.892;0.008
Uruguay;6.909;0;1.15;0.667;0.008
Uruguay;7.197;0;1.14;0.605;0.009
Uruguay;2.303;0;1.13;0.428;0.009
Uruguay;5.182;0;1.13;0.559;0.01
Uruguay;2.879;0.288;1.12;0.563;0.01
Uruguay;4.606;0;1.12;0.68;0.008
Uruguay;5.47;0;1.11;0.573;0.008
Uruguay;1.727;0;1.11;0.472;0.008
Uruguay;6.045;0;1.1;0.744;0.007
Uruguay;4.03;0;1.1;0.479;0.007
Uruguay;2.303;0.288;1.09;0.533;0.007
Uruguay;1.439;0;1.09;0.573;0.006
Uruguay;2.591;0.288;1.09;;0.006
Uruguay;2.591;0;1.09;;0.005
Uruguay;2.591;0;1.09;;0.005
Uruguay;2.015;0;1.09;;0.004
Uruguay;2.879;0;1.09;0.562;0.004
Uruguay;5.182;0;1.09;;0.004
Uruguay;3.167;0;1.09;;0.005
Uruguay;6.045;0;1.09;0.631;0.006
Uruguay;2.303;0;1.09;0.506;0.006
Uruguay;4.606;0;1.09;0.436;0.007
Uruguay;3.455;0.288;1.09;1.122;0.007
Uruguay;3.742;0;1.09;0.469;0.007
Uruguay;1.727;0;1.09;0.587;0.006
Uruguay;4.894;0.576;1.09;;0.007
Uruguay;8.061;0;1.09;;0.008
Uruguay;2.303;0;1.08;1.303;0.007
Uruguay;3.742;0.288;1.08;0.665;0.006
Uruguay;2.879;0.288;1.08;;0.007
Uruguay;1.439;0;1.08;;0.006
Uruguay;1.727;0;1.08;0.436;0.006
Uruguay;1.727;0;1.08;;0.005
Uruguay;0.864;0.288;1.08;;0.003
Uruguay;2.015;0;1.09;0.463;0.004
Uruguay;2.303;0;1.09;0.397;0.004
Uruguay;1.439;0;1.1;0.46;0.004
Uruguay;4.03;0.288;1.1;1.014;0.004
Uruguay;4.318;0;1.11;0.243;0.005
Uruguay;2.879;0;1.11;0.318;0.005
Uruguay;4.606;0;1.11;0.545;0.006
Uruguay;4.318;0;1.12;;0.007
Uruguay;2.879;0;1.12;;0.007
Uruguay;4.894;0.288;1.12;;0.008
Uruguay;4.606;0;1.12;;0.009
Uruguay;2.879;0;1.12;;0.007
Uruguay;4.03;0;1.13;;0.007
Uruguay;5.47;0;1.13;;0.007
Uruguay;8.348;0;1.13;0.495;0.009
Uruguay;5.182;0;1.13;0.64;0.009
Uruguay;4.03;0;1.13;0.755;0.008
Uruguay;2.015;0;1.13;0.487;0.008
Uruguay;8.061;0;1.13;0.331;0.01
Uruguay;1.152;0;1.13;0.977;0.008
Uruguay;4.318;0;1.13;0.517;0.008
Uruguay;8.348;0;1.13;0.589;0.008
Uruguay;5.758;0.288;1.13;0.868;0.007
Uruguay;4.03;0;1.13;0.549;0.008
Uruguay;4.03;0;1.13;;0.008
Uruguay;3.742;0;1.13;;0.007
Uruguay;2.879;0;1.13;0.995;0.008
Uruguay;2.015;0;1.13;0.541;0.007
Uruguay;3.455;0.288;1.14;0.885;0.006
Uruguay;3.742;0;1.14;0.866;0.005
Uruguay;2.303;0;1.14;0.426;0.005
Uruguay;8.924;0;1.15;0.729;0.006
Uruguay;2.879;0;1.15;0.341;0.005
Uruguay;0.576;0;1.15;0.818;0.005
Uruguay;6.621;0.288;1.16;0.444;0.006
Uruguay;3.742;0;1.16;0.677;0.007
Uruguay;4.318;0;1.17;0.766;0.007
Uruguay;10.364;0;1.17;0.927;0.008
Uruguay;7.197;0;1.18;0.881;0.007
Uruguay;6.621;0;1.18;0.452;0.008
Uruguay;2.879;0;1.18;;0.009
Uruguay;6.333;0.288;1.18;;0.008
Uruguay;8.348;0;1.19;0.812;0.009
Uruguay;5.758;0;1.19;0.748;0.009
Uruguay;7.197;0;1.19;0.862;0.009
Uruguay;4.894;0.288;1.19;0.783;0.008
Uruguay;7.485;0;1.2;0.459;0.009
Uruguay;5.47;0.288;1.2;0.674;0.009
Uruguay;6.909;0;1.2;0.522;0.009
Uruguay;14.682;0;1.21;0.731;0.011
Uruguay;8.348;0;1.21;0.813;0.011
Uruguay;9.5;0;1.21;0.85;0.012
Uruguay;14.682;0;1.21;0.749;0.014
Uruguay;8.636;0;1.21;;0.014
Uruguay;8.348;0;1.21;;0.014
Uruguay;18.136;0.288;1.21;0.771;0.016
Uruguay;11.515;0.288;1.21;1.011;0.014
Uruguay;10.939;0;1.21;0.7;0.015
Uruguay;16.697;0;1.21;0.879;0.016
Uruguay;13.818;0;1.21;1.042;0.015
Uruguay;12.667;0;1.21;0.902;0.015
Uruguay;6.045;0.288;1.21;0.714;0.015
Uruguay;12.667;0;1.21;0.702;0.014
Uruguay;18.712;0.288;1.21;1.068;0.015
Uruguay;18.136;0.576;1.21;1.11;0.015
Uruguay;10.939;0.288;1.21;0.776;0.015
Uruguay;12.091;0;1.21;0.885;0.015
Uruguay;7.197;0.288;1.21;0.962;0.014
Uruguay;4.606;0.288;1.21;0.349;0.014
Uruguay;8.924;0.288;1.22;0.763;0.014
Uruguay;14.106;0;1.22;0.887;0.013
Uruguay;18.424;0;1.23;0.942;0.014
Uruguay;17.56;0;1.23;0.876;0.015
Uruguay;20.439;0;1.24;0.845;0.016
Uruguay;21.015;0.288;1.24;1.217;0.018
Uruguay;13.242;0;1.24;0.862;0.018
Uruguay;17.273;0;1.24;0.946;0.019
Uruguay;23.03;0.288;1.25;1.25;0.019
Uruguay;27.348;0;1.25;1.095;0.02
Uruguay;25.333;0.288;1.25;0.916;0.021
Uruguay;21.303;0;1.25;1.336;0.019
Uruguay;21.015;0.288;1.25;1.102;0.02
Uruguay;21.303;0.576;1.25;0.808;0.021
Uruguay;29.939;0.288;1.26;1.178;0.022
Uruguay;25.333;0;1.26;1.464;0.022
Uruguay;23.318;0.288;1.26;1.023;0.021
Uruguay;28.788;0;1.26;1.364;0.021
Uruguay;25.045;0;1.26;;0.021
Uruguay;38.863;0.576;1.27;;0.023
Uruguay;18.424;0;1.27;0.613;0.023
Uruguay;30.803;0.288;1.27;1.44;0.023
Uruguay;33.969;0.288;1.28;1.659;0.023
Uruguay;37.136;0.288;1.28;1.103;0.025
Uruguay;53.545;0;1.28;1.246;0.028
Uruguay;59.878;0.288;1.29;1.126;0.032
Uruguay;59.014;0.288;1.29;1.689;0.033
Uruguay;40.59;0.288;1.29;1.065;0.034
Uruguay;48.075;0.288;1.29;1.042;0.037
Uruguay;57.863;0.576;1.29;1.516;0.041
Uruguay;66.211;0;1.29;1.612;0.041
Uruguay;79.454;0;1.29;2.151;0.04
Uruguay;67.363;0.288;1.29;1.428;0.04
Uruguay;97.302;0.288;1.29;2.119;0.042
Uruguay;58.151;0.288;1.29;1.185;0.043
Uruguay;86.65;0.864;1.29;1.618;0.044
Uruguay;85.787;0.288;1.29;1.829;0.045
Uruguay;110.256;0.864;1.29;1.838;0.048
Uruguay;104.211;0;1.29;1.74;0.052
Uruguay;95.287;0.288;1.29;1.92;0.052
Uruguay;151.998;0.288;1.28;1.917;0.057
Uruguay;92.408;0.864;1.28;;0.058
Uruguay;111.983;0.864;1.28;;0.06
Uruguay;136.741;1.152;1.28;2.133;0.063
Uruguay;156.316;0.864;1.28;2.503;0.063
Uruguay;147.968;1.152;1.27;2.066;0.065
Uruguay;174.74;1.439;1.27;2.375;0.068
Uruguay;141.347;1.439;1.27;1.886;0.068
Uruguay;123.498;0;1.26;1.713;0.07
Uruguay;150.847;0.288;1.26;2.123;0.07
Uruguay;204.104;2.303;1.26;3.136;0.07
Uruguay;215.043;2.015;1.26;3.842;0.068
Uruguay;112.559;2.303;1.25;1.789;0.067
Uruguay;106.514;1.152;1.25;0.965;0.068
Uruguay;146.816;3.167;1.25;2.013;0.068
Uruguay;166.392;0.576;1.25;1.561;0.071
Uruguay;188.846;2.303;1.25;2.055;0.074
Uruguay;149.119;1.727;1.25;2.133;0.076
Uruguay;183.952;2.015;1.25;1.952;0.085
Uruguay;182.513;3.455;1.25;1.336;0.094
Uruguay;150.271;2.303;1.24;1.144;0.096
Uruguay;157.756;0.864;1.25;1.569;0.1
Uruguay;173.589;2.015;1.25;;0.098
Uruguay;195.179;1.727;1.25;;0.101
Uruguay;271.754;1.152;1.25;1.881;0.113
Uruguay;218.497;2.879;1.25;1.736;0.119
Uruguay;153.15;2.591;1.25;2.077;0.109
Uruguay;182.801;2.303;1.25;;0.103
Uruguay;348.905;2.303;1.25;;0.113
Uruguay;205.831;1.727;1.25;1.42;0.119
Uruguay;272.042;2.015;1.25;2.253;0.121
Uruguay;181.074;1.727;1.25;2.126;0.113
Uruguay;435.843;1.439;1.25;2.199;0.124
Uruguay;275.497;3.167;1.25;2.531;0.129
Uruguay;208.134;2.015;;2.455;0.127
Uruguay;204.104;3.742;;1.798;0.121
Uruguay;139.619;2.303;;;0.115
Uruguay;167.831;3.167;;;0.113
Uruguay;244.118;1.727;;2.259;0.117
Uruguay;200.937;3.167;;2.11;0.101
Uruguay;339.117;4.894;;2.744;0.104
Uruguay;229.437;0.864;;1.875;0.11
Uruguay;191.725;2.591;;1.818;0.109
Venezuela;0.07;;;;
Venezuela;0.281;;;;
Venezuela;0.246;;;;
Venezuela;0.563;;;;
Venezuela;0.106;;;;
Venezuela;0.211;;;;
Venezuela;0;;;;
Venezuela;0.985;;;;
Venezuela;0;;;;
Venezuela;0.246;;;;
Venezuela;0.246;;;;
Venezuela;0.246;;;;
Venezuela;0.563;;;;
Venezuela;0;0.035;0.57;;
Venezuela;0.422;0.035;0.58;;
Venezuela;0;0;0.58;;
Venezuela;0.563;0.035;0.6;;
Venezuela;0;0;0.59;;
Venezuela;0.281;0;0.6;;
Venezuela;0.106;0.07;0.61;;
Venezuela;0.246;0.07;0.62;;
Venezuela;0.07;0;0.62;;
Venezuela;0.141;0;0.64;;
Venezuela;0.211;0;0.66;;
Venezuela;0;0;0.67;;
Venezuela;0.07;0.07;0.7;;
Venezuela;0.141;0;0.74;;
Venezuela;0;0;0.78;;
Venezuela;0.141;0;0.84;;
Venezuela;0.211;0;0.9;;
Venezuela;0.281;0;0.95;;
Venezuela;0;0;0.98;;
Venezuela;0.281;0;1.03;;
Venezuela;0.246;0;1.06;;
Venezuela;0;0;1.08;;
Venezuela;0.809;0;1.14;;
Venezuela;1.02;0;1.19;;
Venezuela;0;0;1.16;;
Venezuela;1.02;0.035;1.17;;
Venezuela;0.106;0;1.11;;
Venezuela;0.809;0;1.08;;
Venezuela;0.246;0;1.02;;
Venezuela;0.176;0;0.96;;
Venezuela;0.07;0;0.93;;
Venezuela;0.141;0;0.91;;
Venezuela;0;0;0.91;;
Venezuela;0.07;0;0.93;;
Venezuela;0.07;0;0.97;;
Venezuela;0.07;0;1.03;;
Venezuela;0.352;0;1.11;;
Venezuela;0.422;0;1.16;;
Venezuela;0;0;1.18;;
Venezuela;0.141;0;1.25;;
Venezuela;0.633;0;1.33;;
Venezuela;0.07;0;1.35;;
Venezuela;0.246;0;1.41;;
Venezuela;0.492;0;1.47;;
Venezuela;0.422;0;1.52;;
Venezuela;0.281;0;1.56;;
Venezuela;0.035;0;1.62;;
Venezuela;0;0;1.73;;
Venezuela;1.125;0;1.9;;
Venezuela;0.141;0;1.97;;
Venezuela;1.583;0;2.09;;
Venezuela;1.301;0;2.12;;
Venezuela;2.708;0;2.15;;
Venezuela;4.607;0;2.11;;
Venezuela;2.638;0;1.99;;
Venezuela;2.04;0;1.87;;
Venezuela;2.18;0;1.78;;
Venezuela;2.321;0;1.7;;
Venezuela;3.904;0;1.64;;
Venezuela;1.969;0;1.55;;
Venezuela;1.196;0.035;1.49;;
Venezuela;1.196;0;1.46;;
Venezuela;2.813;0;1.45;;
Venezuela;1.583;0.106;1.43;;
Venezuela;3.13;0;1.44;;
Venezuela;1.794;0;1.44;;
Venezuela;5.345;0.106;1.46;;
Venezuela;5.521;0.035;1.45;;
Venezuela;4.677;0.07;1.41;;
Venezuela;4.748;0;1.36;;
Venezuela;2.04;0;1.32;;
Venezuela;6.014;0.07;1.3;;
Venezuela;2.145;0;1.25;;
Venezuela;3.376;0;1.23;;
Venezuela;5.592;0.035;1.21;;
Venezuela;3.728;0;1.18;;
Venezuela;2.673;0;1.15;;
Venezuela;2.286;0;1.14;;
Venezuela;0.879;0.035;1.14;;
Venezuela;2.602;0.035;1.16;;
Venezuela;2.954;0.035;1.19;;
Venezuela;3.095;0.035;1.23;;
Venezuela;8.299;0.035;1.28;;
Venezuela;3.411;0;1.27;;
Venezuela;3.798;0.07;1.28;;
Venezuela;6.963;0.106;1.3;;
Venezuela;4.501;0;1.3;;
Venezuela;4.607;0.07;1.3;;
Venezuela;4.888;0;1.31;;
Venezuela;6.295;0.106;1.33;;
Venezuela;6.928;0.035;1.34;;
Venezuela;7.596;0.07;1.36;;
Venezuela;12.344;0.035;1.36;;
Venezuela;5.873;0.07;1.34;;
Venezuela;8.194;0.141;1.33;;
Venezuela;10.62;0.106;1.32;;
Venezuela;8.088;0.106;1.3;;
Venezuela;7.42;0.106;1.29;;
Venezuela;9.284;0.07;1.28;;
Venezuela;7.491;0.106;1.28;;
Venezuela;14.735;0.106;1.29;;
Venezuela;8.51;0.106;1.27;;
Venezuela;9.917;0.106;1.26;;
Venezuela;11.078;0.141;1.26;;
Venezuela;12.801;0.176;1.26;;
Venezuela;15.157;0.106;1.25;;
Venezuela;13.188;0.07;1.23;;
Venezuela;10.093;0.141;1.21;;
Venezuela;8.51;0.141;1.2;;
Venezuela;10.656;0.106;1.2;;
Venezuela;14.7;0.141;1.21;;
Venezuela;14.981;0.141;1.21;;
Venezuela;11.851;0.106;1.21;;
Venezuela;10.269;0.106;1.21;;
Venezuela;14.348;0.07;1.22;;
Venezuela;15.579;0.141;1.23;;
Venezuela;15.473;0.141;1.24;;
Venezuela;13.715;0.141;1.25;;
