WKT,Oficina,Distrito,SubZona,Ubigeo,Clientes
"(-76.93637112 -12.07108503 0,-76.93557804 -12.07109304 0,-76.925187 -12.06998199 0,-76.92255504 -12.07620396 0,-76.92250896 -12.07669104 0,-76.92183792 -12.07789704 0,-76.92183792 -12.07806201 0,-76.92195996 -12.078324 0,-76.92173496 -12.07860903 0,-76.92213708 -12.07897101 0,-76.92281892 -12.07899396 0,-76.92299604 -12.07916001 0,-76.92305292 -12.07943802 0,-76.922901 -12.08006199 0,-76.92323184 -12.08030796 0,-76.92478812 -12.08050398 0,-76.925052 -12.08046897 0,-76.92644988 -12.08124801 0,-76.92782796 -12.08192103 0,-76.92821712 -12.08213298 0,-76.92832404 -12.08196603 0,-76.92898608 -12.080754 0,-76.92973992 -12.07913598 0,-76.93004916 -12.07854801 0,-76.93035516 -12.07827603 0,-76.93060788 -12.07814103 0,-76.93087104 -12.07804896 0,-76.93113384 -12.07799901 0,-76.93202592 -12.07779696 0,-76.93276104 -12.07753596 0,-76.93322904 -12.07731303 0,-76.93355592 -12.07708497 0,-76.93410996 -12.07655298 0,-76.934466 -12.07629999 0,-76.93473384 -12.07602801 0,-76.93562412 -12.07557198 0,-76.93567596 -12.07533204 0,-76.93665516 -12.07369701 0,-76.93735392 -12.07130103 0,-76.93637112 -12.07108503 0)",HIGUERETA,LA MOLINA,014128,150114,1
"(-77.01771312 -12.18696498 0,-77.01768396 -12.18682899 0,-77.01746004 -12.18644298 0,-77.01640992 -12.18575601 0,-77.01495516 -12.18450204 0,-77.01440796 -12.18314097 0,-77.01308604 -12.18195603 0,-77.01290208 -12.18198303 0,-77.01226092 -12.181383 0,-77.01077988 -12.18292398 0,-77.01022296 -12.18327102 0,-77.00895612 -12.18377799 0,-77.00801112 -12.18411603 0,-77.00751684 -12.18486699 0,-77.00753808 -12.18534804 0,-77.00760108 -12.18566196 0,-77.00767308 -12.186063 0,-77.007915 -12.186144 0,-77.00809212 -12.18639303 0,-77.00831496 -12.18670101 0,-77.00835888 -12.18674196 0,-77.00842116 -12.18675798 0,-77.008509 -12.18676599 0,-77.00857812 -12.18672801 0,-77.00866704 -12.186621 0,-77.00912388 -12.18635604 0,-77.00934888 -12.18643299 0,-77.00949108 -12.18657402 0,-77.00971392 -12.18657096 0,-77.00998104 -12.18661101 0,-77.01026004 -12.18676797 0,-77.01039 -12.18675096 0,-77.01063516 -12.18659103 0,-77.01104088 -12.18653298 0,-77.01134292 -12.18660903 0,-77.01173208 -12.18702996 0,-77.01209892 -12.18718197 0,-77.01278796 -12.187638 0,-77.01338988 -12.18809403 0,-77.01388704 -12.18838401 0,-77.01398316 -12.18849399 0,-77.01427296 -12.18868497 0,-77.01472584 -12.18884004 0,-77.01510096 -12.18885003 0,-77.01514416 -12.18905199 0,-77.01533712 -12.18927303 0,-77.01554808 -12.18924504 0,-77.01605784 -12.18937698 0,-77.01579216 -12.19009797 0,-77.01614208 -12.19045896 0,-77.01619392 -12.19067496 0,-77.01638112 -12.19060602 0,-77.01706584 -12.19082598 0,-77.017482 -12.18986496 0,-77.017842 -12.18877596 0,-77.01783012 -12.1887 0,-77.01797088 -12.18825297 0,-77.01771312 -12.18696498 0)",HIGUERETA,CHORRILLOS,008118,150108,60
"(-77.03178804 -12.13115202 0,-77.031162 -12.13082604 0,-77.03057808 -12.13100901 0,-77.02993404 -12.131559 0,-77.02976988 -12.12982002 0,-77.02602912 -12.13134696 0,-77.02591212 -12.13139898 0,-77.02481016 -12.13534701 0,-77.02483716 -12.13652196 0,-77.02543008 -12.136779 0,-77.02553592 -12.137031 0,-77.025699 -12.137742 0,-77.02601796 -12.13819497 0,-77.02694604 -12.13941996 0,-77.02765092 -12.13980102 0,-77.02804908 -12.13986798 0,-77.028138 -12.13940403 0,-77.02819596 -12.139425 0,-77.02890012 -12.13978302 0,-77.02894404 -12.13989003 0,-77.02951788 -12.14021196 0,-77.02954308 -12.14013699 0,-77.02900596 -12.13980597 0,-77.02897212 -12.13970004 0,-77.02876512 -12.13959402 0,-77.02861392 -12.13950402 0,-77.02854696 -12.13947099 0,-77.02848 -12.13943697 0,-77.028435 -12.13931997 0,-77.02842708 -12.13920396 0,-77.028498 -12.13885998 0,-77.02853904 -12.13875999 0,-77.02869816 -12.13850898 0,-77.02893216 -12.138066 0,-77.02896384 -12.13785702 0,-77.02899804 -12.13780698 0,-77.02903116 -12.13769799 0,-77.02904808 -12.13766496 0,-77.02931088 -12.13775496 0,-77.029335 -12.13764597 0,-77.02899588 -12.13753203 0,-77.02896204 -12.13751601 0,-77.02894512 -12.13748298 0,-77.02896096 -12.13742403 0,-77.02901208 -12.13739901 0,-77.02904484 -12.13736499 0,-77.02902684 -12.13724898 0,-77.02903512 -12.13718202 0,-77.02906896 -12.13710696 0,-77.029119 -12.13704801 0,-77.02916904 -12.13695603 0,-77.02915104 -12.13682301 0,-77.02916796 -12.13676496 0,-77.02925184 -12.13670601 0,-77.02931916 -12.13663896 0,-77.029344 -12.13653897 0,-77.02935192 -12.13648002 0,-77.02938504 -12.13643799 0,-77.02948584 -12.13634601 0,-77.02949412 -12.13626303 0,-77.02950096 -12.13622001 0,-77.02953588 -12.13617897 0,-77.02954884 -12.13610301 0,-77.02961112 -12.13604496 0,-77.02967016 -12.13600302 0,-77.02967808 -12.13592796 0,-77.02966692 -12.13587099 0,-77.02971192 -12.13585704 0,-77.02977096 -12.13584003 0,-77.02981992 -12.13579404 0,-77.02985412 -12.13570197 0,-77.02992 -12.13556004 0,-77.029911 -12.13551801 0,-77.02991892 -12.13543503 0,-77.02998696 -12.13538499 0,-77.030037 -12.13535898 0,-77.03007084 -12.13531704 0,-77.03006184 -12.13524297 0,-77.03003592 -12.13518402 0,-77.03006112 -12.13514298 0,-77.03010288 -12.13511697 0,-77.03018784 -12.13510797 0,-77.03022384 -12.13507503 0,-77.03026308 -12.13499997 0,-77.03027892 -12.13484103 0,-77.030388 -12.134799 0,-77.03046396 -12.13472304 0,-77.03046396 -12.134673 0,-77.03047188 -12.13459803 0,-77.03052984 -12.13453998 0,-77.03064 -12.13445601 0,-77.03065584 -12.13430499 0,-77.03068896 -12.13426404 0,-77.03078184 -12.13421301 0,-77.03086608 -12.13412904 0,-77.030874 -12.134079 0,-77.03089884 -12.13398702 0,-77.03093988 -12.13392897 0,-77.03098308 -12.13391997 0,-77.03106696 -12.13392798 0,-77.031135 -12.13392699 0,-77.03117712 -12.13391898 0,-77.03120304 -12.13390197 0,-77.03119404 -12.13385202 0,-77.031126 -12.13380198 0,-77.03109216 -12.13377804 0,-77.03106588 -12.13373601 0,-77.03107416 -12.13370298 0,-77.031099 -12.13369398 0,-77.03122608 -12.13369299 0,-77.03129304 -12.13366698 0,-77.03136792 -12.13355799 0,-77.03142696 -12.13350804 0,-77.03149392 -12.13345701 0,-77.03152812 -12.13339896 0,-77.03153604 -12.13332399 0,-77.03156916 -12.13329798 0,-77.03168796 -12.13328898 0,-77.03172108 -12.13327197 0,-77.03175492 -12.13321401 0,-77.03177112 -12.13315497 0,-77.03179596 -12.13310502 0,-77.03189784 -12.13308801 0,-77.03195688 -12.13308702 0,-77.03195616 -12.13302096 0,-77.03197308 -12.13296201 0,-77.03200584 -12.13290396 0,-77.03209116 -12.13289496 0,-77.03220888 -12.13289397 0,-77.032251 -12.13284402 0,-77.03228484 -12.13280199 0,-77.03231004 -12.13273503 0,-77.03236008 -12.13271802 0,-77.03243604 -12.13270902 0,-77.03256312 -12.13270803 0,-77.03259696 -12.132666 0,-77.03262216 -12.13260804 0,-77.03267184 -12.13254099 0,-77.03268912 -12.13249896 0,-77.03178804 -12.13115202 0)",HIGUERETA,MIRAFLORES,022127,150122,8
"(-76.98581496 -12.14727597 0,-76.98461184 -12.140199 0,-76.98133908 -12.14077104 0,-76.981086 -12.14083197 0,-76.98211488 -12.14608401 0,-76.98299688 -12.14928198 0,-76.98609 -12.14791002 0,-76.98581496 -12.14727597 0)",HIGUERETA,SANTIAGO DE SURCO,040107,150140,25
"(-77.01473016 -12.10294197 0,-77.01310116 -12.09976002 0,-77.01257916 -12.09930597 0,-77.01219504 -12.09927798 0,-77.01142392 -12.10288698 0,-77.01124284 -12.10373703 0,-77.01089904 -12.10534596 0,-77.011749 -12.10554396 0,-77.01190596 -12.10489002 0,-77.012298 -12.10497903 0,-77.01255 -12.10501296 0,-77.01312816 -12.105027 0,-77.01365088 -12.10494096 0,-77.014017 -12.104847 0,-77.01477012 -12.10446396 0,-77.01536484 -12.104154 0,-77.01550164 -12.10439007 0,-77.01633792 -12.1039128 0,-77.01616404 -12.10355613 0,-77.01652296 -12.10333662 0,-77.01654564 -12.10312809 0,-77.01647796 -12.10271112 0,-77.01643332 -12.10234896 0,-77.01591708 -12.10261239 0,-77.01565896 -12.10284279 0,-77.01496308 -12.1033476 0,-77.01473016 -12.10294197 0)",HIGUERETA,SAN ISIDRO,031104,150131,8
"(-77.02695108 -12.10088502 0,-77.02587 -12.09878397 0,-77.02509888 -12.09678102 0,-77.02171092 -12.09727998 0,-77.02113204 -12.09736737 0,-77.02128936 -12.09811356 0,-77.02177176 -12.09808062 0,-77.0219064 -12.09872808 0,-77.02204104 -12.09909024 0,-77.0221872 -12.09945231 0,-77.02227684 -12.10003389 0,-77.022243 -12.10069233 0,-77.022243 -12.10124097 0,-77.022333 -12.10153734 0,-77.02253496 -12.10181166 0,-77.0227146 -12.102075 0,-77.02283088 -12.10236804 0,-77.02736004 -12.10283199 0,-77.02695108 -12.10088502 0)",HIGUERETA,SAN ISIDRO,031106,150131,12
"(-77.01440688 -12.08967597 0,-77.01382908 -12.09185901 0,-77.01331788 -12.09423996 0,-77.01850512 -12.09497004 0,-77.01914016 -12.09031002 0,-77.01440688 -12.08967597 0)",HIGUERETA,SAN ISIDRO,031107,150131,6
"(-77.01831 -12.09771801 0,-77.01731712 -12.09785004 0,-77.01698412 -12.09818196 0,-77.01699996 -12.09885399 0,-77.014188 -12.09924504 0,-77.01310116 -12.09976002 0,-77.01473016 -12.10294197 0,-77.01496308 -12.1033476 0,-77.01565896 -12.10284279 0,-77.01591708 -12.10261239 0,-77.01643332 -12.10234896 0,-77.01738984 -12.102147 0,-77.01746292 -12.10143402 0,-77.01848784 -12.09918204 0,-77.01831 -12.09771801 0)",HIGUERETA,SAN ISIDRO,031108,150131,3
"(-77.02912296 -12.09918996 0,-77.02918488 -12.09879 0,-77.02893792 -12.09864699 0,-77.02886484 -12.09833397 0,-77.02847784 -12.09826296 0,-77.02754184 -12.09814803 0,-77.027076 -12.09824703 0,-77.02587 -12.09878397 0,-77.02695108 -12.10088502 0,-77.02736004 -12.10283199 0,-77.03157312 -12.10357998 0,-77.03188596 -12.10180797 0,-77.03222508 -12.09973302 0,-77.02912296 -12.09918996 0)",HIGUERETA,SAN ISIDRO,031109,150131,16
"(-77.03952696 -12.10744701 0,-77.03906796 -12.105693 0,-77.03898084 -12.10487904 0,-77.03753292 -12.10506399 0,-77.03626104 -12.10522203 0,-77.03615016 -12.10455999 0,-77.03443188 -12.10471398 0,-77.03412408 -12.10457403 0,-77.03379396 -12.105117 0,-77.03363916 -12.10553298 0,-77.03339004 -12.10588497 0,-77.03619192 -12.10944897 0,-77.03661888 -12.10997799 0,-77.03667 -12.10994496 0,-77.03677188 -12.10991202 0,-77.03692092 -12.10988196 0,-77.03705808 -12.10989996 0,-77.037174 -12.10996098 0,-77.03797608 -12.10917303 0,-77.038218 -12.10893399 0,-77.03959788 -12.10753503 0,-77.03952696 -12.10744701 0)",HIGUERETA,SAN ISIDRO,031111,150131,5
