WKT,Oficina,Distrito,SubZona,Ubigeo,Clientes
"(-76.99944708 -12.13951401 0,-76.999185 -12.138894 0,-76.99890708 -12.13707402 0,-76.99871916 -12.13635096 0,-76.99819896 -12.13551801 0,-76.99697604 -12.13470999 0,-76.99455396 -12.13810704 0,-76.993722 -12.13935903 0,-76.99411584 -12.13974396 0,-76.99481892 -12.14081802 0,-76.99637088 -12.13978203 0,-76.99656888 -12.13967502 0,-76.99688208 -12.13961301 0,-76.996872 -12.13992 0,-76.99688316 -12.14012196 0,-76.99712616 -12.14050401 0,-76.99768596 -12.14009901 0,-76.99798404 -12.140694 0,-76.99956192 -12.13972101 0,-76.99944708 -12.13951401 0)",HIGUERETA,SANTIAGO DE SURCO,040148,150140,11
"(-76.99414608 -12.14528499 0,-76.99184388 -12.14174304 0,-76.99123908 -12.14238897 0,-76.98946212 -12.14442801 0,-76.98848004 -12.14565804 0,-76.99151196 -12.14789697 0,-76.99139784 -12.14837802 0,-76.99168008 -12.14842599 0,-76.99217688 -12.148587 0,-76.99258908 -12.14907003 0,-76.99349412 -12.14834697 0,-76.99335588 -12.14799804 0,-76.99399812 -12.147579 0,-76.99413384 -12.14777403 0,-76.99543488 -12.14727903 0,-76.99414608 -12.14528499 0)",HIGUERETA,SANTIAGO DE SURCO,040149,150140,22
"(-76.98678984 -12.14918298 0,-76.98609 -12.14791002 0,-76.98299688 -12.14928198 0,-76.98350484 -12.15120897 0,-76.98378204 -12.15341802 0,-76.98453408 -12.15301104 0,-76.98606912 -12.15193401 0,-76.98614508 -12.15201897 0,-76.98802716 -12.15058896 0,-76.98678984 -12.14918298 0)",HIGUERETA,SANTIAGO DE SURCO,040150,150140,13
"(-76.99009104 -12.15377298 0,-76.98705696 -12.15558099 0,-76.98725388 -12.15591102 0,-76.98740112 -12.15594396 0,-76.98763512 -12.15618903 0,-76.98798684 -12.15683397 0,-76.98796992 -12.15686097 0,-76.988367 -12.15752004 0,-76.98906792 -12.15773397 0,-76.99053096 -12.15570699 0,-76.99056012 -12.154725 0,-76.99009104 -12.15377298 0)",HIGUERETA,SANTIAGO DE SURCO,040152,150140,7
"(-76.988367 -12.15752004 0,-76.98796992 -12.15686097 0,-76.98798684 -12.15683397 0,-76.98763512 -12.15618903 0,-76.98740112 -12.15594396 0,-76.98725388 -12.15591102 0,-76.98705696 -12.15558099 0,-76.98482712 -12.15716796 0,-76.98494304 -12.15951804 0,-76.98530088 -12.15950697 0,-76.98548196 -12.15950202 0,-76.985919 -12.15939798 0,-76.98618684 -12.159369 0,-76.98682296 -12.15900801 0,-76.987278 -12.15916497 0,-76.98819096 -12.15859698 0,-76.98874284 -12.15868797 0,-76.98882204 -12.158289 0,-76.98906792 -12.15773397 0,-76.988367 -12.15752004 0)",HIGUERETA,SANTIAGO DE SURCO,040153,150140,12
"(-76.99808412 -12.16161702 0,-76.99760604 -12.160665 0,-76.99734288 -12.16035999 0,-76.99669704 -12.15915003 0,-76.99597812 -12.15780696 0,-76.99551696 -12.15701298 0,-76.99519584 -12.156606 0,-76.99466088 -12.15616401 0,-76.99393512 -12.15687501 0,-76.99160484 -12.15985599 0,-76.99233816 -12.16021104 0,-76.99257792 -12.16037304 0,-76.99297104 -12.16103301 0,-76.99396284 -12.16284102 0,-76.995387 -12.16200402 0,-76.99638492 -12.16140102 0,-76.99757112 -12.16286703 0,-76.99783176 -12.16321866 0,-76.99802076 -12.16358865 0,-76.99872816 -12.16299996 0,-76.99808412 -12.16161702 0)",HIGUERETA,SANTIAGO DE SURCO,040154,150140,15
"(-76.99297104 -12.16103301 0,-76.99257792 -12.16037304 0,-76.99233816 -12.16021104 0,-76.99160484 -12.15985599 0,-76.99092192 -12.15952704 0,-76.99053996 -12.15940599 0,-76.99047984 -12.15824103 0,-76.99053096 -12.15570699 0,-76.98906792 -12.15773397 0,-76.98882204 -12.158289 0,-76.98874284 -12.15868797 0,-76.98882816 -12.15950202 0,-76.98967704 -12.161313 0,-76.99029012 -12.16206702 0,-76.99088196 -12.16154196 0,-76.991355 -12.16202103 0,-76.99155696 -12.162447 0,-76.992363 -12.16381302 0,-76.993353 -12.16323504 0,-76.99396284 -12.16284102 0,-76.99297104 -12.16103301 0)",HIGUERETA,SANTIAGO DE SURCO,040155,150140,4
"(-76.99281084 -12.16385001 0,-76.99249116 -12.16402902 0,-76.992363 -12.16381302 0,-76.99155696 -12.162447 0,-76.991355 -12.16202103 0,-76.99088196 -12.16154196 0,-76.99029012 -12.16206702 0,-76.98967704 -12.161313 0,-76.98806604 -12.162231 0,-76.98976308 -12.16499904 0,-76.99060116 -12.165102 0,-76.99039812 -12.16648899 0,-76.99202496 -12.16546704 0,-76.992552 -12.16513602 0,-76.99328496 -12.16469502 0,-76.99281084 -12.16385001 0)",HIGUERETA,SANTIAGO DE SURCO,040156,150140,16
"(-76.99472784 -12.16724796 0,-76.99489488 -12.16712997 0,-76.99389696 -12.16559997 0,-76.99347036 -12.1658742 0,-76.9932036 -12.16547712 0,-76.9932684 -12.16543851 0,-76.99307364 -12.16511415 0,-76.99268592 -12.16534095 0,-76.992552 -12.16513602 0,-76.99202496 -12.16546704 0,-76.99039812 -12.16648899 0,-76.988952 -12.16727001 0,-76.98809016 -12.16755396 0,-76.98602304 -12.16878102 0,-76.98447504 -12.17108799 0,-76.984191 -12.172482 0,-76.98762288 -12.17403297 0,-76.98765096 -12.17405403 0,-76.98798504 -12.17366199 0,-76.98825504 -12.17349801 0,-76.98888108 -12.17310597 0,-76.98940884 -12.17293596 0,-76.99053708 -12.17310804 0,-76.99108716 -12.17271096 0,-76.99127184 -12.17281302 0,-76.991598 -12.17238498 0,-76.99206816 -12.17152899 0,-76.99216104 -12.17148804 0,-76.992687 -12.17119896 0,-76.99309704 -12.17097099 0,-76.99356684 -12.17061603 0,-76.99374288 -12.17047896 0,-76.99361004 -12.17028096 0,-76.99478616 -12.16939599 0,-76.99493088 -12.16956699 0,-76.99502484 -12.16949796 0,-76.99530492 -12.16926702 0,-76.99581396 -12.16882404 0,-76.99472784 -12.16724796 0)",HIGUERETA,SANTIAGO DE SURCO,040157,150140,25
"(-77.01731784 -12.13043004 0,-77.01729912 -12.13018803 0,-77.017239 -12.13005699 0,-77.017131 -12.12994296 0,-77.01675084 -12.13030602 0,-77.01641712 -12.13058097 0,-77.01616116 -12.130011 0,-77.01592104 -12.13021701 0,-77.01588504 -12.13022502 0,-77.01574896 -12.13010199 0,-77.01570612 -12.13002099 0,-77.01554484 -12.12958404 0,-77.01525 -12.12960303 0,-77.01418908 -12.12956802 0,-77.01370308 -12.12939999 0,-77.01355296 -12.12975999 0,-77.01351084 -12.13002 0,-77.01309612 -12.12988104 0,-77.01302484 -12.13022997 0,-77.01310404 -12.13055397 0,-77.01316416 -12.130911 0,-77.012892 -12.13120296 0,-77.01286716 -12.131181 0,-77.01281316 -12.13117101 0,-77.01258312 -12.13093296 0,-77.01253884 -12.13086897 0,-77.01249708 -12.13075098 0,-77.01241104 -12.13041402 0,-77.01183684 -12.13053201 0,-77.01193404 -12.13108398 0,-77.01184188 -12.131424 0,-77.01157188 -12.13229601 0,-77.01152904 -12.13263801 0,-77.01157512 -12.13315101 0,-77.01182208 -12.13414902 0,-77.01371712 -12.13367202 0,-77.01791904 -12.133764 0,-77.01796296 -12.13121997 0,-77.01796404 -12.130443 0,-77.01731784 -12.13043004 0)",HIGUERETA,SANTIAGO DE SURCO,040145,150140,8
"(-77.02315884 -12.125538 0,-77.02198992 -12.125691 0,-77.020776 -12.12799203 0,-77.020146 -12.12767298 0,-77.01805584 -12.12762204 0,-77.01796404 -12.130443 0,-77.01796296 -12.13121997 0,-77.01892488 -12.13126398 0,-77.01908184 -12.13131501 0,-77.01946884 -12.13058898 0,-77.02094304 -12.13295499 0,-77.02120584 -12.13325703 0,-77.02146 -12.13286301 0,-77.02280784 -12.12955398 0,-77.02407 -12.12541803 0,-77.02315884 -12.125538 0)",HIGUERETA,MIRAFLORES,022116,150122,5
"(-77.021712 -12.12416298 0,-77.02045992 -12.12234201 0,-77.01953616 -12.12111702 0,-77.01902208 -12.12069501 0,-77.01819984 -12.12057801 0,-77.01802596 -12.126312 0,-77.01805584 -12.12762204 0,-77.020146 -12.12767298 0,-77.020776 -12.12799203 0,-77.02198992 -12.125691 0,-77.02315884 -12.125538 0,-77.021712 -12.12416298 0)",HIGUERETA,MIRAFLORES,022117,150122,9
"(-77.032953 -12.12523803 0,-77.03278416 -12.12494103 0,-77.03271684 -12.12446997 0,-77.03250696 -12.12407298 0,-77.03238204 -12.12363504 0,-77.03216712 -12.12335298 0,-77.03131896 -12.122424 0,-77.03034012 -12.12272397 0,-77.02918416 -12.122973 0,-77.02781616 -12.12319197 0,-77.02807104 -12.12745896 0,-77.02956216 -12.12687504 0,-77.03306604 -12.12547797 0,-77.032953 -12.12523803 0)",HIGUERETA,MIRAFLORES,022111,150122,13
"(-77.02542612 -12.119175 0,-77.02501104 -12.11922099 0,-77.02401204 -12.11987799 0,-77.02336296 -12.11976504 0,-77.02217604 -12.11967198 0,-77.02108092 -12.11959701 0,-77.02024896 -12.11954499 0,-77.01922296 -12.11946498 0,-77.019084 -12.11945697 0,-77.01902208 -12.12069501 0,-77.01953616 -12.12111702 0,-77.02045992 -12.12234201 0,-77.021712 -12.12416298 0,-77.02315884 -12.125538 0,-77.02407 -12.12541803 0,-77.02454592 -12.12375303 0,-77.02587792 -12.11916204 0,-77.02542612 -12.119175 0)",HIGUERETA,MIRAFLORES,022118,150122,18
"(-77.01726096 -12.12054696 0,-77.01729084 -12.11938299 0,-77.01665184 -12.11936301 0,-77.01598404 -12.11936004 0,-77.01379884 -12.11930703 0,-77.01377292 -12.12045201 0,-77.01300396 -12.12048 0,-77.01296616 -12.12192099 0,-77.01285492 -12.12710499 0,-77.01802596 -12.126312 0,-77.01819984 -12.12057801 0,-77.01726096 -12.12054696 0)",HIGUERETA,MIRAFLORES,022119,150122,6
"(-77.01319404 -12.11877999 0,-77.01322392 -12.11795901 0,-77.01318792 -12.11779503 0,-77.01312096 -12.11765004 0,-77.01302304 -12.11753403 0,-77.012937 -12.11746104 0,-77.01173316 -12.1167 0,-77.01103908 -12.11623101 0,-77.01007896 -12.11560101 0,-77.00866596 -12.117735 0,-77.00774904 -12.11910399 0,-77.00736096 -12.11968197 0,-77.00808816 -12.12016698 0,-77.00951304 -12.12141798 0,-77.010327 -12.12208704 0,-77.01086592 -12.12214104 0,-77.01092784 -12.12114204 0,-77.01124104 -12.12122304 0,-77.01151212 -12.12144201 0,-77.01152616 -12.12218496 0,-77.01296616 -12.12192099 0,-77.01300396 -12.12048 0,-77.01377292 -12.12045201 0,-77.01379884 -12.11930703 0,-77.01381504 -12.11878197 0,-77.01319404 -12.11877999 0)",HIGUERETA,MIRAFLORES,022120,150122,3
"(-77.01152616 -12.12218496 0,-77.01151212 -12.12144201 0,-77.01124104 -12.12122304 0,-77.01092784 -12.12114204 0,-77.01086592 -12.12214104 0,-77.010327 -12.12208704 0,-77.00951304 -12.12141798 0,-77.00808816 -12.12016698 0,-77.00736096 -12.11968197 0,-77.00568912 -12.12216804 0,-77.00790204 -12.12353298 0,-77.008995 -12.12417999 0,-77.009517 -12.12762699 0,-77.01156216 -12.12730299 0,-77.01285492 -12.12710499 0,-77.01296616 -12.12192099 0,-77.01152616 -12.12218496 0)",HIGUERETA,MIRAFLORES,022121,150122,10
"(-77.008995 -12.12417999 0,-77.00790204 -12.12353298 0,-77.00568912 -12.12216804 0,-77.00272092 -12.12655896 0,-77.001417 -12.12847497 0,-77.00150196 -12.128607 0,-77.00156208 -12.12873597 0,-77.001588 -12.12883803 0,-77.00603796 -12.12818103 0,-77.008842 -12.12772698 0,-77.009517 -12.12762699 0,-77.008995 -12.12417999 0)",HIGUERETA,MIRAFLORES,022122,150122,8
"(-77.003568 -12.12077196 0,-77.001597 -12.12048702 0,-77.00155308 -12.120579 0,-77.00148684 -12.121011 0,-77.00159016 -12.12105798 0,-77.000679 -12.12236001 0,-77.00120604 -12.12288804 0,-77.00081508 -12.12321798 0,-77.00031216 -12.12350697 0,-77.00064912 -12.12401304 0,-77.00083992 -12.12428898 0,-77.00120784 -12.12461397 0,-77.00159196 -12.124863 0,-77.002101 -12.12530796 0,-77.00228208 -12.12558003 0,-77.00246712 -12.126105 0,-77.00257512 -12.12633603 0,-77.00272092 -12.12655896 0,-77.00568912 -12.12216804 0,-77.003568 -12.12077196 0)",HIGUERETA,SURQUILLO,041101,150141,8
"(-77.00554584 -12.11784102 0,-77.00500908 -12.11740902 0,-77.00469588 -12.11768802 0,-77.00368284 -12.11666499 0,-77.00302296 -12.11729004 0,-77.00238504 -12.11790096 0,-77.00229684 -12.11802696 0,-77.00214096 -12.11906502 0,-77.00208588 -12.11926401 0,-77.00169888 -12.11986899 0,-77.001597 -12.12048702 0,-77.003568 -12.12077196 0,-77.00568912 -12.12216804 0,-77.00736096 -12.11968197 0,-77.00774904 -12.11910399 0,-77.00554584 -12.11784102 0)",HIGUERETA,SURQUILLO,041102,150141,21
"(-77.02255908 -12.13473402 0,-77.02202304 -12.13447104 0,-77.02153488 -12.13408998 0,-77.02129296 -12.13360902 0,-77.02120584 -12.13325703 0,-77.02041996 -12.134115 0,-77.01859116 -12.13571502 0,-77.01782184 -12.13593804 0,-77.01772392 -12.13901397 0,-77.01879204 -12.139326 0,-77.01882912 -12.13922898 0,-77.01952212 -12.13929603 0,-77.01973092 -12.13976304 0,-77.01989796 -12.14006697 0,-77.02065 -12.14140401 0,-77.02213212 -12.14117703 0,-77.022288 -12.13942203 0,-77.02278912 -12.13600401 0,-77.02311492 -12.13585398 0,-77.02306308 -12.13540101 0,-77.02309512 -12.13511499 0,-77.02314012 -12.13495704 0,-77.02255908 -12.13473402 0)",HIGUERETA,BARRANCO,004102,150104,12
"(-77.02781616 -12.12319197 0,-77.02454592 -12.12375303 0,-77.02407 -12.12541803 0,-77.02280784 -12.12955398 0,-77.02374492 -12.12921999 0,-77.02807104 -12.12745896 0,-77.02781616 -12.12319197 0)",HIGUERETA,MIRAFLORES,022112,150122,16
"(-77.02956216 -12.12687504 0,-77.02807104 -12.12745896 0,-77.02374492 -12.12921999 0,-77.02591212 -12.13139898 0,-77.02602912 -12.13134696 0,-77.02976988 -12.12982002 0,-77.02956216 -12.12687504 0)",HIGUERETA,MIRAFLORES,022114,150122,7
"(-77.01626196 -12.13708599 0,-77.01434496 -12.138759 0,-77.01237684 -12.14043903 0,-77.01257916 -12.14064297 0,-77.01309 -12.14163297 0,-77.01389604 -12.14319501 0,-77.01422904 -12.14383698 0,-77.01391692 -12.144132 0,-77.01440796 -12.14480898 0,-77.01549192 -12.14378199 0,-77.01564708 -12.14389503 0,-77.01617808 -12.14341497 0,-77.01610788 -12.14321796 0,-77.01758604 -12.14193303 0,-77.01754284 -12.141567 0,-77.01766092 -12.14145801 0,-77.01772392 -12.13901397 0,-77.01782184 -12.13593804 0,-77.01784812 -12.13572699 0,-77.01626196 -12.13708599 0)",HIGUERETA,BARRANCO,004103,150104,25
"(-77.01947604 -12.14631999 0,-77.01787908 -12.14199 0,-77.01758604 -12.14193303 0,-77.01610788 -12.14321796 0,-77.01617808 -12.14341497 0,-77.01564708 -12.14389503 0,-77.01549192 -12.14378199 0,-77.01440796 -12.14480898 0,-77.01567084 -12.14651403 0,-77.01544584 -12.14676198 0,-77.01520212 -12.14703999 0,-77.01568704 -12.147048 0,-77.015772 -12.14725401 0,-77.01591996 -12.14738901 0,-77.01603912 -12.14760204 0,-77.01649488 -12.14864604 0,-77.01963804 -12.14679303 0,-77.01947604 -12.14631999 0)",HIGUERETA,BARRANCO,004105,150104,32
"(-77.02894404 -12.13989003 0,-77.02890012 -12.13978302 0,-77.02819596 -12.139425 0,-77.028138 -12.13940403 0,-77.02804908 -12.13986798 0,-77.02765092 -12.13980102 0,-77.02694604 -12.13941996 0,-77.02601796 -12.13819497 0,-77.025699 -12.137742 0,-77.02553592 -12.137031 0,-77.02543008 -12.136779 0,-77.02483716 -12.13652196 0,-77.02401312 -12.13612596 0,-77.023647 -12.13602399 0,-77.02311492 -12.13585398 0,-77.02278912 -12.13600401 0,-77.022288 -12.13942203 0,-77.02213212 -12.14117703 0,-77.02197912 -12.14290899 0,-77.02195896 -12.14323902 0,-77.02470504 -12.14346204 0,-77.02614612 -12.14421696 0,-77.02634808 -12.14409897 0,-77.02635492 -12.14393301 0,-77.02652412 -12.14384796 0,-77.02654788 -12.14370702 0,-77.026725 -12.14358903 0,-77.02687512 -12.14332902 0,-77.02709292 -12.14301996 0,-77.02730316 -12.14277696 0,-77.02751988 -12.14238402 0,-77.027688 -12.14228196 0,-77.027805 -12.14204796 0,-77.02797204 -12.14178903 0,-77.02810596 -12.14157204 0,-77.02832412 -12.14124498 0,-77.02845012 -12.14120304 0,-77.02845804 -12.14102799 0,-77.02859196 -12.14095203 0,-77.02872516 -12.14060904 0,-77.02890984 -12.14040798 0,-77.02895088 -12.14028297 0,-77.02905204 -12.14021601 0,-77.02908588 -12.14016498 0,-77.02951788 -12.14021196 0,-77.02894404 -12.13989003 0)",HIGUERETA,BARRANCO,004108,150104,6
"(-77.02065 -12.14140401 0,-77.01989796 -12.14006697 0,-77.01973092 -12.13976304 0,-77.01952212 -12.13929603 0,-77.01882912 -12.13922898 0,-77.01879204 -12.139326 0,-77.01772392 -12.13901397 0,-77.01766092 -12.14145801 0,-77.01754284 -12.141567 0,-77.01758604 -12.14193303 0,-77.01787908 -12.14199 0,-77.01947604 -12.14631999 0,-77.02049304 -12.14515899 0,-77.02109784 -12.145896 0,-77.02172712 -12.14581797 0,-77.02195896 -12.14323902 0,-77.02197912 -12.14290899 0,-77.02213212 -12.14117703 0,-77.02065 -12.14140401 0)",HIGUERETA,BARRANCO,004109,150104,14
"(-77.00447412 -12.13556499 0,-77.00328108 -12.13325496 0,-77.00259708 -12.133584 0,-77.00267412 -12.13374798 0,-77.00212692 -12.13401096 0,-77.00189292 -12.13360497 0,-77.000895 -12.13477101 0,-77.00080212 -12.134934 0,-77.00070816 -12.13500996 0,-76.999455 -12.13574904 0,-76.99989996 -12.136545 0,-76.99890708 -12.13707402 0,-76.999185 -12.138894 0,-76.99944708 -12.13951401 0,-77.003082 -12.13754202 0,-77.00500188 -12.13657902 0,-77.00447412 -12.13556499 0)",HIGUERETA,SANTIAGO DE SURCO,040158,150140,15
"(-77.0051754 -12.14013951 0,-77.00434488 -12.13930899 0,-77.00380704 -12.138678 0,-77.003082 -12.13754202 0,-76.99944708 -12.13951401 0,-76.99956192 -12.13972101 0,-77.000328 -12.14045397 0,-77.00129388 -12.14116299 0,-77.00160816 -12.14163297 0,-77.00013792 -12.14261298 0,-77.00000184 -12.14274303 0,-77.00019408 -12.143241 0,-77.00023404 -12.14345322 0,-77.0003118 -12.1437018 0,-77.00036004 -12.14405901 0,-77.000841 -12.14461899 0,-77.00449104 -12.14209098 0,-77.0059746 -12.1413726 0,-77.0051754 -12.14013951 0)",HIGUERETA,SANTIAGO DE SURCO,040159,150140,18
"(-76.99782996 -12.14528004 0,-76.99481892 -12.14081802 0,-76.99411584 -12.13974396 0,-76.993722 -12.13935903 0,-76.99247496 -12.14089803 0,-76.99184388 -12.14174304 0,-76.99414608 -12.14528499 0,-76.99543488 -12.14727903 0,-76.99621788 -12.14848998 0,-76.99638888 -12.148578 0,-76.99660992 -12.14847396 0,-76.99766688 -12.14775198 0,-76.99796604 -12.14766702 0,-76.998483 -12.14758098 0,-76.99906512 -12.14710596 0,-76.99782996 -12.14528004 0)",HIGUERETA,SANTIAGO DE SURCO,040160,150140,22
"(-77.00129388 -12.14116299 0,-77.000328 -12.14045397 0,-76.99956192 -12.13972101 0,-76.99798404 -12.140694 0,-76.99768596 -12.14009901 0,-76.99712616 -12.14050401 0,-76.99688316 -12.14012196 0,-76.996872 -12.13992 0,-76.99688208 -12.13961301 0,-76.99656888 -12.13967502 0,-76.99637088 -12.13978203 0,-76.99481892 -12.14081802 0,-76.99782996 -12.14528004 0,-77.00008716 -12.14329896 0,-77.00019408 -12.143241 0,-77.00000184 -12.14274303 0,-77.00013792 -12.14261298 0,-77.00160816 -12.14163297 0,-77.00129388 -12.14116299 0)",HIGUERETA,SANTIAGO DE SURCO,040161,150140,9
"(-77.02519896 -12.15179397 0,-77.02507296 -12.15163197 0,-77.02471908 -12.151377 0,-77.02425504 -12.151107 0,-77.02310808 -12.15051003 0,-77.02264116 -12.15042498 0,-77.02174116 -12.15010404 0,-77.02073712 -12.14968797 0,-77.02023996 -12.15105597 0,-77.01986304 -12.15172296 0,-77.01946992 -12.15381699 0,-77.01956388 -12.15389403 0,-77.01941988 -12.15466596 0,-77.02033896 -12.15507996 0,-77.02070184 -12.15524304 0,-77.02220412 -12.15592704 0,-77.02287696 -12.15623196 0,-77.02380288 -12.15662697 0,-77.02486812 -12.15694296 0,-77.02601904 -12.15698796 0,-77.02722252 -12.15697041 0,-77.02825824 -12.15452079 0,-77.02887636 -12.15352467 0,-77.024871 -12.15294903 0,-77.02500492 -12.15249003 0,-77.02525692 -12.15202203 0,-77.02519896 -12.15179397 0)",HIGUERETA,BARRANCO,004102,150104,12
"(-77.02094304 -12.13295499 0,-77.01946884 -12.13058898 0,-77.01908184 -12.13131501 0,-77.01892488 -12.13126398 0,-77.01796296 -12.13121997 0,-77.01791904 -12.133764 0,-77.01784812 -12.13572699 0,-77.01782184 -12.13593804 0,-77.01859116 -12.13571502 0,-77.02041996 -12.134115 0,-77.02120584 -12.13325703 0,-77.02094304 -12.13295499 0)",HIGUERETA,BARRANCO,004104,150104,2
"(-77.02109784 -12.145896 0,-77.02049304 -12.14515899 0,-77.01947604 -12.14631999 0,-77.01963804 -12.14679303 0,-77.01649488 -12.14864604 0,-77.01665904 -12.14902197 0,-77.017104 -12.15002403 0,-77.01758496 -12.15107496 0,-77.01835104 -12.15262899 0,-77.017671 -12.15304902 0,-77.01705684 -12.15346797 0,-77.01641712 -12.15406197 0,-77.01694596 -12.15512298 0,-77.019264 -12.15387099 0,-77.01946992 -12.15381699 0,-77.01986304 -12.15172296 0,-77.02023996 -12.15105597 0,-77.02073712 -12.14968797 0,-77.02142112 -12.14745903 0,-77.021703 -12.14609103 0,-77.02172712 -12.14581797 0,-77.02109784 -12.145896 0)",HIGUERETA,BARRANCO,004106,150104,26
"(-76.98976308 -12.16499904 0,-76.98806604 -12.162231 0,-76.98679416 -12.16292103 0,-76.98622068 -12.16296261 0,-76.98588516 -12.16295802 0,-76.98596688 -12.16375596 0,-76.98603888 -12.16536804 0,-76.98602304 -12.16878102 0,-76.98809016 -12.16755396 0,-76.988952 -12.16727001 0,-76.99039812 -12.16648899 0,-76.99060116 -12.165102 0,-76.98976308 -12.16499904 0)",HIGUERETA,SANTIAGO DE SURCO,040166,150140,8
"(-76.99426704 -12.15523998 0,-76.99364712 -12.15450396 0,-76.99269096 -12.15279297 0,-76.991256 -12.15335898 0,-76.99044384 -12.15366804 0,-76.99009104 -12.15377298 0,-76.99056012 -12.154725 0,-76.99053096 -12.15570699 0,-76.99047984 -12.15824103 0,-76.99053996 -12.15940599 0,-76.99092192 -12.15952704 0,-76.99160484 -12.15985599 0,-76.99393512 -12.15687501 0,-76.99466088 -12.15616401 0,-76.99479804 -12.15592398 0,-76.99426704 -12.15523998 0)",HIGUERETA,SANTIAGO DE SURCO,040167,150140,45
"(-76.97372112 -12.090906 0,-76.97032596 -12.09249 0,-76.96939608 -12.092913 0,-76.96873296 -12.09366 0,-76.96797516 -12.09402801 0,-76.96781784 -12.09414798 0,-76.96793016 -12.09466197 0,-76.96816308 -12.09521196 0,-76.968648 -12.09573396 0,-76.96904508 -12.09606597 0,-76.96972512 -12.09672 0,-76.96994508 -12.09716604 0,-76.96955016 -12.09740301 0,-76.968972 -12.09902598 0,-76.969809 -12.10094397 0,-76.97124684 -12.10039101 0,-76.97116116 -12.10012497 0,-76.972563 -12.099537 0,-76.972671 -12.09917601 0,-76.97290608 -12.09884004 0,-76.97311488 -12.09853404 0,-76.973193 -12.09823497 0,-76.97331108 -12.09794499 0,-76.97348604 -12.096459 0,-76.973895 -12.09324897 0,-76.97372112 -12.090906 0)",HIGUERETA,SANTIAGO DE SURCO,040170,150140,9
"(-77.010813 -12.146985 0,-77.00759388 -12.146373 0,-77.00662404 -12.14619102 0,-77.00517288 -12.14712603 0,-77.00363604 -12.14811702 0,-77.00390892 -12.14859897 0,-77.00428188 -12.14918901 0,-77.00425992 -12.14919801 0,-77.00412708 -12.14934003 0,-77.00402916 -12.14940996 0,-77.00155092 -12.15054702 0,-77.00224284 -12.15156096 0,-77.00305608 -12.15275103 0,-77.00772204 -12.14976402 0,-77.01111 -12.14755704 0,-77.01177708 -12.14706996 0,-77.010813 -12.146985 0)",HIGUERETA,SANTIAGO DE SURCO,040171,150140,31
"(-77.00661 -12.14612298 0,-77.00628708 -12.14604603 0,-77.00509692 -12.14401104 0,-77.00473188 -12.14340399 0,-77.005512 -12.14297496 0,-77.00563584 -12.14288496 0,-77.00571684 -12.14271099 0,-77.00600592 -12.14141823 0,-77.0059746 -12.1413726 0,-77.00449104 -12.14209098 0,-77.000841 -12.14461899 0,-77.00036004 -12.14405901 0,-77.0003118 -12.1437018 0,-77.00023404 -12.14345322 0,-77.00019408 -12.143241 0,-77.00008716 -12.14329896 0,-76.99782996 -12.14528004 0,-76.99906512 -12.14710596 0,-76.99910112 -12.14707302 0,-76.999752 -12.14800299 0,-77.00155092 -12.15054702 0,-77.00402916 -12.14940996 0,-77.00412708 -12.14934003 0,-77.00425992 -12.14919801 0,-77.00428188 -12.14918901 0,-77.00390892 -12.14859897 0,-77.00363604 -12.14811702 0,-77.00517288 -12.14712603 0,-77.00662404 -12.14619102 0,-77.00661 -12.14612298 0)",HIGUERETA,SANTIAGO DE SURCO,040172,150140,26
"(-77.017104 -12.15002403 0,-77.01649488 -12.14864604 0,-77.01533892 -12.14917902 0,-77.01530616 -12.14923401 0,-77.01528888 -12.14930304 0,-77.015214 -12.149334 0,-77.01491988 -12.148974 0,-77.01481296 -12.14880804 0,-77.01478812 -12.14873703 0,-77.01463296 -12.14849403 0,-77.01441984 -12.14880903 0,-77.01310296 -12.14958699 0,-77.01298884 -12.14935704 0,-77.01281712 -12.14940303 0,-77.01266808 -12.14945298 0,-77.01219216 -12.14957601 0,-77.01304284 -12.15213003 0,-77.013423 -12.15254898 0,-77.01369192 -12.15286101 0,-77.01500988 -12.15226602 0,-77.01483708 -12.15194796 0,-77.01518016 -12.151746 0,-77.01543792 -12.15225801 0,-77.01580584 -12.15196596 0,-77.01629796 -12.15161001 0,-77.01635196 -12.15169497 0,-77.01758496 -12.15107496 0,-77.017104 -12.15002403 0)",HIGUERETA,SANTIAGO DE SURCO,040163,150140,17
"(-76.99400496 -12.15045504 0,-76.99353696 -12.14845704 0,-76.99349412 -12.14834697 0,-76.99258908 -12.14907003 0,-76.99217688 -12.148587 0,-76.99168008 -12.14842599 0,-76.99139784 -12.14837802 0,-76.99151196 -12.14789697 0,-76.98848004 -12.14565804 0,-76.98698892 -12.14739603 0,-76.98609 -12.14791002 0,-76.98678984 -12.14918298 0,-76.98802716 -12.15058896 0,-76.989213 -12.15201096 0,-76.98974688 -12.15286398 0,-76.99009104 -12.15377298 0,-76.99044384 -12.15366804 0,-76.991256 -12.15335898 0,-76.99269096 -12.15279297 0,-76.99239396 -12.152277 0,-76.99254084 -12.15220797 0,-76.99426596 -12.15078804 0,-76.99400496 -12.15045504 0)",HIGUERETA,SANTIAGO DE SURCO,040164,150140,26
